X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU_31	OTU_43	-0.228356	-0.228356	-0.228356	6	7	16	-1	0.207000	-0.143049	0.504883	-0.209260	0.337923	-1	-0.227323	0.285400	-0.298791	0.166077	-1	0.414344	0.630283	0.003635	0.397836	0.000888	28	41
OTU_31	OTU_24	0.409253	0.409253	0.409253	5	5	20	0	0.228000	0.522064	0.008876	0.522064	0.008876	0	0.331694	0.113325	-0.447882	0.032099	1	0.432321	0.131069	0.000455	0.267697	0.000403	28	42
OTU_31	OTU_67	0.255539	0.255539	0.255539	9	9	16	0	0.958000	-0.162207	0.448891	-0.218532	0.316453	-1	0.072772	0.735418	-0.119538	0.586945	1	0.742970	0.630283	0.003571	0.581373	0.001910	28	43
OTU_31	OTU_36	-0.187425	-0.187425	-0.187425	16	17	6	-1	0.940000	0.086254	0.688607	-0.208502	0.339717	1	-0.118860	0.580143	-0.203730	0.351130	1	0.740206	0.630283	0.003638	0.532930	0.001334	28	44
OTU_31	OTU_121	-0.360244	-0.360244	-0.360244	1	1	19	0	0.015000	-0.206633	0.332665	0.510409	0.012828	1	-0.534763	0.007096	-0.534763	0.007096	0	0.141765	0.630283	0.000586	0.071125	0.000207	28	45
OTU_31	OTU_39	-0.221902	-0.221902	-0.221902	7	6	14	1	0.354000	-0.281993	0.181872	-0.281993	0.181872	0	-0.312974	0.136460	-0.312974	0.136460	0	0.514250	0.630283	0.002983	0.290301	0.000798	28	46
OTU_31	OTU_82	-0.162561	-0.162561	-0.162561	5	5	12	0	0.685000	0.347079	0.096577	0.347079	0.096577	0	-0.067222	0.754972	-0.146544	0.504630	-1	0.665531	0.544407	0.002205	0.587122	0.001708	28	47
OTU_31	OTU_30	-0.150891	-0.150891	-0.150891	2	1	21	1	0.836000	-0.301934	0.151595	-0.318147	0.139021	1	-0.187966	0.379097	-0.239948	0.270119	1	0.708549	0.630283	0.002662	0.449019	0.001142	28	48
OTU_31	OTU_61	0.316040	0.316040	0.316040	1	2	20	-1	0.125000	-0.076838	0.721197	0.411029	0.051367	-1	-0.190088	0.373640	0.354533	0.096937	-1	0.336217	0.630283	0.001529	0.446013	0.000674	28	49
OTU_31	OTU_52	-0.146000	-0.146000	-0.146000	5	4	17	1	0.780000	-0.198748	0.351844	-0.228821	0.293625	1	0.101226	0.637895	-0.128114	0.560191	1	0.693142	0.630283	0.003507	0.554067	0.001842	28	50
OTU_31	OTU_79	0.147088	0.147088	0.147088	1	1	16	0	0.854000	0.399942	0.052818	0.399942	0.052818	0	0.241695	0.255197	0.249682	0.250568	-1	0.714136	0.409775	0.001559	0.379273	0.001096	28	51
OTU_31	OTU_66	0.205991	0.205991	0.205991	1	2	21	-1	0.171000	-0.183352	0.391118	0.260135	0.230619	-1	-0.094193	0.661537	0.415674	0.048537	-1	0.384610	0.630283	0.003264	0.561049	0.000495	28	52
OTU_31	OTU_84	-0.260348	-0.260348	-0.260348	2	2	20	0	0.089000	-0.391651	0.058402	-0.391651	0.058402	0	-0.407845	0.047890	-0.407845	0.047890	0	0.298941	0.431200	0.001664	0.184490	0.000492	28	53
