#Row.names	X18S_BL040126_022.	X18S_BL040223_022.	X18S_BL040322_022.	X18S_BL040419_022.	X18S_BL040525_022.	X18S_BL040628_022.	X18S_BL040719_022.	X18S_BL040831_022.	X18S_BL040929_022.	X18S_BL041019_022.	X18S_BL041116_022.	X18S_BL041214_022.	X18S_BL050120_022.	X18S_BL050215_022.	X18S_BL050309_022.	X18S_BL050413_022.	X18S_BL050510_022.	X18S_BL050607_022.	X18S_BL050705_022.	X18S_BL050803_022.	X18S_BL050913_022.	X18S_BL051004_022.	X18S_BL051108_022.	X18S_BL051213_022.
OTU_80	39	0	0	4	0	0	0	0	0	196	98	92	19	0	0	0	0	0	0	0	7	0	13	93
OTU_69	93	91	57	18	0	0	0	0	0	0	6	110	57	13	0	0	0	0	0	0	86	9	0	20
OTU_141	7	0	0	2	0	8	5	0	9	1	5	2	0	17	0	353	0	0	39	48	0	60	0	0
OTU_70	7	21	10	37	0	10	38	59	47	12	17	1	1	2	0	4	1	10	0	265	0	0	10	1
OTU_68	36	74	67	85	0	0	38	34	3	8	118	3	13	0	0	0	0	0	0	0	6	0	4	38
OTU_65	0	0	1	0	337	11	21	31	9	33	1	0	0	0	0	0	0	13	0	67	0	0	0	2
OTU_72	6	50	21	37	0	145	0	0	0	0	13	3	29	22	0	44	0	19	0	0	45	0	14	65
OTU_5293	2	0	2	45	27	3	47	67	17	20	2	22	0	2	0	32	34	6	78	9	3	55	26	8
OTU_62	38	37	22	2	0	0	2	0	0	28	9	98	109	7	0	0	0	0	0	0	25	0	47	80
OTU_149	0	0	0	0	0	0	0	0	29	7	15	0	2	0	0	0	298	143	0	0	0	0	0	1
OTU_112	8	0	1	0	0	0	0	0	13	68	21	61	32	18	0	57	11	7	0	39	15	3	127	10
OTU_85	14	1	4	1	0	16	0	2	80	183	10	10	38	0	0	0	0	3	0	22	3	1	36	67
OTU_134	3	158	18	77	30	0	0	0	0	0	0	29	4	24	0	0	0	0	35	0	11	49	17	30
OTU_93	41	58	28	119	0	135	30	0	0	10	5	11	12	1	0	0	0	0	0	0	10	0	0	14
OTU_78	3	0	6	5	66	307	0	0	0	19	5	1	2	0	0	0	0	27	0	2	2	0	17	9
OTU_106	0	0	0	1	0	0	0	0	3	0	112	0	1	0	0	0	0	299	8	12	5	0	20	3
OTU_190	0	0	0	0	0	0	0	16	0	0	7	0	8	0	0	1	419	9	0	0	0	0	0	4
OTU_1542	5	5	2	0	0	46	114	0	0	21	21	12	42	0	0	0	0	2	39	135	6	2	0	8
OTU_71	0	0	5	1	0	250	0	0	5	37	53	8	13	0	0	0	0	0	0	60	7	0	0	20
OTU_252	0	0	0	1	0	0	45	0	8	12	6	2	0	0	0	0	257	56	5	59	0	0	1	4
OTU_95	0	0	0	0	255	124	9	0	0	0	4	0	5	2	0	0	0	1	0	47	0	0	0	5
OTU_174	11	32	19	2	0	0	2	0	0	0	4	7	6	87	0	0	0	0	234	0	6	28	4	0
OTU_58	25	8	21	7	0	0	0	0	0	0	25	81	58	0	1	0	0	20	0	0	14	0	80	100
OTU_94	7	0	1	28	0	0	0	0	0	11	10	1	178	120	1	0	0	0	0	0	1	77	0	0
Temp	14	12.9	12.9	12.6	17	21.1	24	24.5	21.3	19.2	16	14.5	13	12.1	12.4	13	16	19.6	24	24	26.1	21.5	17.9	13.9
SECCHI	14	7	12	6	9	14	24	17	15	12	11	15.5	19	13	20	18	12.5	22	22	20	19	17	12	15
SAL_CTD	37.9	37.2	37.2	35.9	37	36.9	36.9	37.2	37.7	37.5	36.8	37.2	37	37.7	37.9	37.7	37.6	38.1	na	na	na	35.1	37.1	37.8
CHL_total	1.06	1.04	1.13	1.36	0.71	0.44	0.37	NA	0.68	0.34	0.71	0.38	0.51	1.34	0.67	2.03	1.13	0.36	0.11	0.02	0.27	0.57	0.75	0.6
PO4	0.22	0.17	0.19	0.16	0.17	0.13	0.14	0.1	0.09	0.06	0.21	0.23	0.24	0.24	0.42	0.29	0.21	0.22	0.23	0.21	0.19	0.18	0.21	0.18
NH4	0.29	0.67	0.28	1.47	0.89	0.34	0.95	0.67	0.48	0.45	1.03	1.32	1.14	1.23	1.53	2.13	1.28	0.98	1.44	0.93	1.2	1.54	2.16	1
NO2	0.28	0.23	0.28	0.36	0.33	0.05	0.2	0.06	0.05	0.06	1.02	0.29	0.22	0.22	0.15	0.43	0.14	0.08	0.06	0.01	0.02	0.11	0.84	0.13
NO3	1.53	1.56	2.82	2.51	0.21	0.2	0.14	0.25	0.18	0.36	0.37	1.32	1.05	2.55	6.81	3.3	0.89	0.21	0.22	0.14	0.27	2.35	2.48	1.17
SI	1.8	0.84	2.47	6.07	3.27	2.22	1.36	1.31	1.38	1.41	1.78	2.5	2.56	2.94	7.06	3.35	1.48	1.34	1.76	1.52	1.29	1.6	1.81	1.86
BACTERIA	854356	700418	1156460	1046779	1117590	1874196	1654834	1685622	1243819	na	923628	715812	582655	952492	380997	788163	1610192	935943	1127596	803899	1250747	885144	1100657	691182
SYNECHOS	5927	1780	10463	1411	17222	39447	38741	38741	56187	na	5644	16856	8253	4387	4002	4169	4233	19146	24823	28575	37522	33866	21840	4013
Cryptomonas	100	134	145	80	0	35	113	118	128	0	14	142	0	104	92	81	134	235	59	30	14	80	56	103
Micromonas	9258	3071	6884	1424	865	966	203	4540	381	730	449	3001	4414	8403	8403	1543	722	997	505	163	101	573	694	1764
PNF_tot	11451	4924	8377	2266	3593	2835	1228	7245	3469	2811	1314	4768	5853	9976	12097	2506	1357	4367	1699	1122	776	2052	1964	2904
HNF_tot	329	1312	607	1793	1117	1599	1357	2047	1748	822	883	664	420	505	267	669	1158	2077	1528	1347	1281	837	575	909
