	BL040126	BL040419	BL040719	BL041019	BL050120	BL050413	BL050705	BL051004
OTU_00052	5.64084833346589	-1.3484592188807	-1.52707358812649	-1.86992076018981	5.54221279271573	-2.18144466118697	-3.17370907200801	-1.08245382578963
OTU_00053	4.46323920650451	-0.0918065923010154	-2.33874567294516	1.86985191372244	4.97008495845987	-2.99311674600564	-3.98538115682668	-1.8941259106083
OTU_00054	1.43917128275042	-4.11964514774168	1.34723378742474	1.56889475877873	1.92675594247696	2.08563755957281	-5.94489500086899	1.69684681760701
OTU_00055	-0.0860460059753752	1.34163885021153	-1.26909511688907	-1.61194228895238	-0.0474814929242495	-1.92346618994955	-2.91573060077058	6.51212284524968
OTU_00056	0.658430779351643	1.9413467860177	1.03630793094098	0.578813151386952	1.30189453976494	-5.32289115649042	-1.84709515763909	1.65319312666729
OTU_00057	5.8416652008856	1.90432438747317	-1.80900274701232	-2.15184991907564	3.4982581133713	-2.4633738200728	-3.45563823089384	-1.36438298467546
OTU_00058	-0.443028753473216	3.99570893282501	-1.62607786438691	-1.96892503645022	-0.404464240422091	-2.28044893744739	-3.27271334826842	5.99994924762324
OTU_00059	-2.40386222745367	-0.979243950562813	3.28991543078949	3.14664896939421	-2.36529771440254	2.471963851674	-0.0178327834081879	-3.1422915760305
OTU_00061	-0.969078530294041	-1.97351327196194	5.00659015970784	4.64256524393037	1.60620611684611	-2.80649871426821	-3.79876312508925	-1.70750787887087
OTU_00062	-1.81875236819667	-2.82318710986457	4.19570996547619	2.33752932629595	3.25281452766808	2.06150433838638	-4.64843696299187	-2.5571817167735
OTU_00063	3.85822460144971	-2.73303243346595	3.51522508431065	3.10037824427751	2.85053170616843	-3.56601787577222	-4.55828228659326	-2.46702704037488
OTU_00064	2.5223181521591	0.81002285428529	-2.41826587690587	-2.76111304896919	4.65928353797712	-3.07263694996635	-4.06490136078739	4.32529269220729
OTU_00065	3.03740674637921	1.56198460536331	-2.56568143050611	-2.90852860256943	3.76484300041779	-3.22005250356659	-4.21231691438763	4.54234509886945
OTU_00066	5.55948983707944	1.63847512045933	-1.84581697613396	-2.18866414819728	4.2303538897995	-2.50018804919444	-3.49245246001548	-1.4011972137971
OTU_00067	-0.729396560202498	-1.7338313018704	0.612679651595459	1.86544262009083	-0.690832047151372	5.70284470131502	-3.55908115499771	-1.46782590877933
OTU_00068	5.89350851519305	-1.27544882945178	-1.45406319869757	-1.79691037076089	4.85149027441504	-2.10843427175805	-3.10069868257909	-1.00944343636071
